Имя;Фамилия;Должность;Зарплата;login;password
Петр;Петров;Программист;100000;petr;12345
Алексей;Степанов;Бухгалтер;60000;alexey;123456
Светлана;Макеева;Менеджер;50000;svetlana;654321
Марина;Дъякова;Менеджер проектов;110000;marina;567890
Степан;Хвостов;Руководитель IT;110000;stepan;123456
Сергей;Лунов;Директор по маркетингу;110000;sergey;3253523
Михаил;Алексеев;Старший программист;100000;misha;234323
Ирина;Любина;Директор;130000;irina;2442424
Виктор;Морозов;Специалист;40000;viktor;3564632
Андрей;Лавров;Программист;90000;andrey;63464364
